,Agent,Dateofbirth,Latesttransfer,CIESvalue,TMvalue,Totaltransfers,Timeinyouthteam,Goalkicks,Dominantfoot,Position,Maincompetition,Salary,Startofcontract,Contractexpiration,Previousclub,Releaseclause,Saves,Dribble,Defender,Transfers,Offthebench,Altura,Ageinlastgame,Previouscompetition,Currentclub,Ageondebut,Countryofbirth,ELO,Market value,Othershirtnumbers,Tempo,Placeofbirth,Timescalledup,Nacionalidad(es),Physical,Pass,Placement,Mostcommonshirtnumber,Matchesasastarter,Shot,Stretch,Debut,Reflexes,Liga,Lastmatch,Marketvalue,Jump,Provider,Latestrenewal,Potential,Regionofbirth,Edad,Continentofbirth
Darko Brašanac,,12February1992,,2M€,2M€,,,,Right,MID(Midfielder),LaLiga,1.3M€annual,22-07-2019,30-06-2023,DeportivoAlavés,,,69,60,transfer,,178,,SecondDivision,Osasuna,,Serbia,69,3.5,"14,20,22,24,9,15",59,Čajetina,,Serbia,69,71,,8,,64,,,,Liga Española,,3.5M€,,,16-01-2021,74,EuropadelEste,30,Europe
Aimar Oroz,BahíaInternacional,27November2001,01-07-2019,6M€,,,,,Right,MID(Midfielder),LaLiga,143.5k€annual,01-07-2019,30-06-2026,OsasunaPromesas,,,,,1transfer,,177,,PrimeraDivisiónRFEF,Osasuna,,Spain,67,2.8,"29,20,36,10,34",,Pamplona,,Spain,,,,22,,,,,,Liga Española,,2.8M€,,Nike,,77,EuropadelSur,21,Europe
Pablo Ibáñez,7DS,20September1998,,1M€,,,,,Right,MID(Midfielder),LaLiga,74.4k€annual,01-02-2021,30-06-2024,OsasunaPromesas,,,,,transfer,,179,,PrimeraDivisiónRFEF,Osasuna,,Spain,59,1,"6,19",,Pamplona,,Spain,,,,8,,,,,,Liga Española,,945k€,,,,66,EuropadelSur,24,Europe
Moi Gómez,InterStarDeporte,23June1994,,7M€,8M€,,,,Right,STR(Striker),LaLiga,1.6M€annual,18-07-2019,30-06-2027,Villarreal,,,77,50,transfer,,174,,LaLiga,Osasuna,,Spain,75,11.5,"19,27,16,6,21,11,2,54,9",70,Rojales,,Spain,70,78,,23,,71,,,,Liga Española,,11.5M€,,,,79,EuropadelSur,28,Europe
Chimy Ávila,CarlosBilicich,06February1994,,6M€,10M€,,,,Left,STR(Striker),LaLiga,1.5M€annual,01-07-2019,30-06-2026,Huesca,,,77,48,transfer,,178,,SecondDivision,Osasuna,,Argentina,74,13.4,"14,19,16",82,Rosario,,Argentina,78,64,,9,,71,,,,Liga Española,,13.4M€,,,15-03-2022,78,Sudamérica,28,AmericadelSur
Kike García,,25November1989,,2M€,1.8M€,,,,Right,STR(Striker),LaLiga,1.1M€annual,03-02-2016,30-06-2024,Eibar,,,69,38,transfer,,186,,SecondDivision,Osasuna,,Spain,71,2.9,"9,18,12,33,32",62,MotilladelPalancar,,Spain,70,58,,17,,65,,,,Liga Española,,2.9M€,,,,77,EuropadelSur,33,Europe
Rubén García,ToldraConsultingS.L.,14July1993,,3M€,6M€,,,,Left,STR(Striker),LaLiga,1.5M€annual,01-07-2019,30-06-2024,RealSporting,,,82,48,transfer,,171,,SecondDivision,Osasuna,,Spain,71,8.8,"10,11,29,7",81,Xàtiva,,Spain,68,79,,14,,74,,,,Liga Española,,8.8M€,,,07-10-2020,77,EuropadelSur,29,Europe
Ante Budimir,MGMEDIATORTRANSFER,22July1991,,5M€,6M€,,,,Left,STR(Striker),LaLiga,742.1k€annual,01-07-2019,30-06-2025,Mallorca,,,68,34,transfer,,190,,LaLiga,Osasuna,,Croatia,71,7.2,"14,22,8,47,9",66,Bzenica,,Croatia,67,44,,17,,57,,,,Liga Española,,7.2M€,,,,75,EuropadelSur,31,Europe
Kike Barja,YOUFIRST,01April1997,01-01-2018,5M€,3M€,,,,Right,STR(Striker),LaLiga,549.7k€annual,01-01-2018,30-06-2026,OsasunaPromesas,,,75,37,2transfers,,178,,PrimeraDivisiónRFEF,Osasuna,,Spain,67,5.6,"19,30",77,Noáin,,Spain,66,62,,11,,51,,,,Liga Española,,5.6M€,,,,72,EuropadelSur,25,Europe
Ez Abde,INTEGRALADVISINGFOOTBALLS.L,17December2001,,,8M€,,,,Right,STR(Striker),LaLiga,175.8k€annual,01-09-2022,30-06-2026,BarçaAtlètic,,,,,transfer,,177,,PrimeraDivisiónRFEF,Osasuna,,Morocco,62,6.1,"33,12,11,16,20",,BeniMellal,,Morocco,,,,28,,,,,,Liga Española,,6.1M€,,,,72,ÁfricadelNorte,21,Africa
Iker Benito,GLOBALASES,10August2002,,,,,,,Right,STR(Striker),PrimeraDivisiónRFEF,25.5k€annual,,30-06-2025,Osasuna,,,,,transfer,,176,,LaLiga,OsasunaPromesas,,Spain,50,0.5,7,,MirandadeEbro,,Spain,,,,33,,,,,,Liga Española,,,,,24-06-2022,66,EuropadelSur,20,Europe
Predrag Rajković,SoccerMondialAG,31October1995,,15M€,10M€,,"FKHajdukVeljkoNegotin(2002-2009),FKJagodina(2009-2013)",74,Right,GOA(Goalkeeper),LaLiga,802.4k€annual,01-07-2019,30-06-2026,StadedeReims,,76,,,transfer,,191,,Ligue1,Mallorca,,Serbia,82,12.2,"1,12,16,18",,Negotin,,Serbia,,,79,95,,,77,,81,Liga Española,,12.2M€,35,,,85,EuropadelEste,27,Europe
Dominik Greif,Stars&Friends,06April1997,,1M€,1.5M€,,,,Right,GOA(Goalkeeper),LaLiga,328.1k€annual,06-07-2021,30-06-2026,SlovanBratislava,,,,,transfer,,197,,SlovakianSuperLiga,Mallorca,,Slovakia,57,1.7,"22,23,13,30",,Bratislava,,Slovakia,,,,1,,,,,,Liga Española,,1.7M€,,Nike,,69,EuropadelEste,25,Europe
Leo Román,AntonioLópezManagement,06July2000,05-08-2020,1M€,,,,,Right,GOA(Goalkeeper),LaLiga,,05-08-2020,30-06-2026,MallorcaB,,,,,3transfers,,0.4,,SegundaDivisiónRFEF,Mallorca,,Spain,53,,"1,25",,Ibiza,,Spain,,,,31,,,,,,Liga Española,,,,,,64,EuropadelSur,22,Europe
Pere García,,22March2002,,250M€,,,,,Right,GOA(Goalkeeper),SegundaDivisiónRFEF,28.6k€annual,,30-06-2023,Mallorca,,,,,transfer,,0,,LaLiga,MallorcaB,,Spain,45,,"21,1,25,44,13",,CanPicafort,,Spain,,,,33,,,,,,Liga Española,,,,,,58,EuropadelSur,20,Europe
Martin Valjent,20Sport,11December1995,,6M€,4.5M€,,,,Right,DF(Defender),LaLiga,437.9k€annual,01-07-2019,30-06-2025,Chievo,,,67,56,transfer,,187,,SerieB,Mallorca,,Slovakia,77,7.6,"24,14,2",68,DubnicanadVáhom,,Slovakia,77,54,,4,,44,,,,Liga Española,,7.6M€,,,23-02-2021,80,EuropadelEste,27,Europe
Antonio Raíllo,Promoesport,08October1991,,3M€,3M€,,,,Right,DF(Defender),LaLiga,156k€annual,01-07-2016,30-06-2024,Ponferradina,,,54,64,transfer,,184,,SecondDivision,Mallorca,,Spain,75,3.7,"4,24,6",61,Córdoba,,Spain,66,49,,21,,43,,,,Liga Española,,3.7M€,,,29-06-2020,79,EuropadelSur,31,Europe
Pablo Maffeo,SportAgency4U,12July1997,,7M€,6M€,,FCLevanteLasPlanas(2002-2003),,Right,DF(Defender),LaLiga,1.2M€annual,01-07-2018,30-06-2026,Huesca,,,78,61,transfer,,173,,SecondDivision,Mallorca,,Spain,74,6.6,"15,3,2,25,20,7,12",86,SantJoanDespí,,Spain,69,69,,50,,47,,,,Liga Española,,6.6M€,,Nike,10-06-2022,78,EuropadelSur,25,Europe
Jaume Costa,ToldraConsultingS.L.,18March1988,,1M€,1.2M€,,,,Left,DF(Defender),LaLiga,1.1M€annual,07-07-2021,30-06-2023,Villarreal,,,74,62,transfer,,171,,LaLiga,Mallorca,,Spain,73,1.2,"18,21,3,36,42,23,50",75,Valencia,,Spain,69,70,,11,,61,,,,Liga Española,,1.2M€,,,,79,EuropadelSur,34,Europe
Dennis Hadžikadunić,FM11,09July1998,,,3M€,,"BKOlympic(-2012),MalmöFF(2012-2017)",,Right,DF(Defender),LaLiga,380.4k€annual,18-01-2023,31-05-2026,MalmöFF,,,53,51,transfer,,185,,SwedishAllsvenskan,Mallorca,,Sweden,70,4.6,"21,3,37,13,51,20,16,4,19",59,Malmö,,BosniaandHerzegovina,61,38,,5,,26,,,,Liga Española,,4.6M€,,,,75,PaísesNórdicos,24,Europe
Copete,YOUFIRST,10October1999,,5M€,2M€,,,,Left,DF(Defender),LaLiga,202.8k€annual,01-07-2022,30-06-2026,Ponferradina,,,,,transfer,,3.3,,SecondDivision,Mallorca,,Spain,70,,"6,27,5",,Écija,,Spain,,,,15,,,,,,Liga Española,,3.3M€,,,,76,EuropadelSur,23,Europe
Ludwig Augustinsson,HCMSportsManagement,21April1994,,4M€,4M€,,IFBrommapojkarna(2000–2011),,Left,DF(Defender),LaLiga,1.1M€annual,11-07-2022,30-06-2025,AstonVilla,,,75,60,transfer,,181,,PremierLeague,Mallorca,,Sweden,68,7.3,"6,5,17,26,4",69,Stockholm,,Sweden,74,75,,3,,66,,,,Liga Española,,7.3M€,,Nike,,86,PaísesNórdicos,28,Europe
Giovanni González,Promoesport,20September1994,,3M€,2M€,,"DanubioFC(-2002),RiverPlateMontevideo",,Right,DF(Defender),LaLiga,19.8M€annual,29-01-2022,30-06-2024,Peñarol,,,71,57,transfer,,175,,AperturaUruguay,Mallorca,,Uruguay,69,4.3,"13,2,4",74,Montevideo,,Uruguay,71,58,,20,,52,,,,Liga Española,,4.3M€,,,,75,Sudamérica,28,AmericadelSur
Matija Nastasić,LIANSportsGroup,28March1993,,1M€,1.5M€,,,,Left,DF(Defender),LaLiga,1.8M€annual,21-08-2021,30-06-2023,Fiorentina,,,58,53,transfer,,187,,SerieA,Mallorca,,Serbia,60,3.1,"33,31,55,2,15",66,Belgrade,,Serbia,73,63,,5,,48,,,,Liga Española,,3.1M€,,,,79,EuropadelEste,29,Europe
Josep Gayá,Wasserman,07July2000,,1M€,,,,,Unknown,DF(Defender),LaLiga,28.6k€annual,,30-06-2023,MallorcaB,,,,,transfer,,,,SegundaDivisiónRFEF,Mallorca,,Spain,59,,"4,34,14,15,3",,PalmadeMallorca,,Spain,,,,29,,,,,,Liga Española,,,,,,70,EuropadelSur,22,Europe
Dani Rodríguez,PROTIOSPORT,06June1988,,2M€,1.2M€,,,,Right,MID(Midfielder),LaLiga,500.5k€annual,01-07-2018,30-06-2024,Albacete,,,74,56,transfer,,177,,SecondDivision,Mallorca,,Spain,72,1.4,"8,6,31",85,Betanzos,,Spain,70,72,,14,,65,,,,Liga Española,,1.4M€,,Puma,01-06-2022,77,EuropadelSur,34,Europe
Kang-In Lee,INTEGRALADVISINGFOOTBALLS.L,19February2001,,15M€,12M€,,"IncheonUnitedU12(2009-2010),IncheonFlyingsFC(2011),FCValencia(2011-2018)",,Left,MID(Midfielder),LaLiga,573k€annual,30-08-2021,30-06-2025,Valencia,80M€,,,,transfer,,173,,LaLiga,Mallorca,,SouthKorea,69,15.9,"19,34,18,10,20,13,8",,Incheon,,SouthKorea,,,,16,,,,,,Liga Española,,15.9M€,,Adidas,,78,AsiaOriental,21,Asia
Iddrisu Baba,LIANSportsGroup,22January1996,,3M€,3M€,,,,Right,MID(Midfielder),LaLiga,272.2k€annual,01-07-2018,30-06-2024,MallorcaB,,,60,56,transfer,,182,,SegundaDivisiónRFEF,Mallorca,,Ghana,69,6,"21,28,6",66,Accra,,Ghana,65,57,,12,,49,,,,Liga Española,,6M€,,,22-07-2019,73,AfricaOccidental,27,Africa
Iñigo Ruiz de Galarreta,GLOBALASES,06August1993,,,2M€,,,,Right,MID(Midfielder),LaLiga,402.8k€annual,02-09-2019,30-06-2023,LasPalmas,,,72,59,transfer,,174,,SecondDivision,Mallorca,,Spain,68,3.3,"19,27,21,15,32,17",69,Donostia/SanSebastián,,Spain,67,67,,4,,58,,,,Liga Española,,3.3M€,,,,73,EuropadelSur,29,Europe
R. Battaglia,TheKwan,12July1991,,1M€,1.5M€,,ClubAtleticoAlmagro,,Right,MID(Midfielder),LaLiga,1M€annual,01-07-2017,30-06-2024,SportingCP,,,69,62,transfer,,187,,PrimeiraLiga,Mallorca,,Argentina,65,2.3,"5,6,7,17,18",65,Morón,,Argentina,72,63,,16,,62,,,,Liga Española,,2.3M€,,,,76,Sudamérica,31,AmericadelSur
Antonio Sánchez,CAAStellar,22April1997,,4M€,1.8M€,,,,Right,MID(Midfielder),LaLiga,181.2k€annual,01-07-2018,30-06-2024,Mirandés,,,73,51,transfer,,179,,SecondDivision,Mallorca,,Spain,65,3.2,"18,28,8",71,PalmadeMallorca,,Spain,68,66,,10,,66,,,,Liga Española,,3.2M€,,,09-06-2021,70,EuropadelSur,25,Europe
Manu Morlanes,GoalManagement,12January1999,,8M€,4M€,,,,Right,MID(Midfielder),LaLiga,849.2k€annual,16-08-2021,30-06-2026,Villarreal,,,75,56,transfer,,173,,LaLiga,Mallorca,,Spain,65,7.7,"20,28,6,5,40,15,11,16",69,Zaragoza,,Spain,66,71,,8,,65,,,,Liga Española,,7.7M€,,,,71,EuropadelSur,24,Europe
Clément Grenier,YOUFIRST,07January1991,,1M€,900k€,,"FCAnnonay(1997-2002),OlympiqueLyonnais(2002-2008)",,Right,MID(Midfielder),LaLiga,1.1M€annual,03-03-2022,30-06-2024,StadeRennais,,,67,53,transfer,,186,,Ligue1,Mallorca,,France,63,1.7,"8,6,22,10,15,17,13",52,Annonay,,France,65,79,,7,,78,,,,Liga Española,,1.7M€,,Adidas,15-06-2022,78,EuropaOccidental,32,Europe
Miquel Llabrés,Sinagente,28January2000,,,,,,,Right,MID(Midfielder),SegundaDivisiónRFEF,,01-07-2019,30-06-2023,Mallorca,,,,,transfer,,170,,LaLiga,MallorcaB,,Spain,56,0.3,"30,7",,Andratx,,Spain,,,,10,,,,,,Liga Española,,,,,,64,EuropadelSur,23,Europe
Vedat Muriqi,FutureBall,24April1994,22-07-2022,15M€,7M€,34.9M€,,,Left,STR(Striker),LaLiga,2.8M€annual,15-09-2020,30-06-2027,Lazio,,,58,29,11transfers,,194,,SerieA,Mallorca,,Kosovo,79,15.3,"18,9,7,19,17",55,Prizren,,Kosovo,70,54,,94,,61,,,,Liga Española,,15.3M€,,,,82,EuropadelEste,28,Europe
Ángel,Emartsoccer,26April1987,,1M€,1M€,,,,Right,STR(Striker),LaLiga,1.4M€annual,02-07-2021,30-06-2023,Getafe,,,76,39,transfer,,172,,LaLiga,Mallorca,,Spain,65,0.7,"22,19",73,SantaCruzdeTenerife,,Spain,71,60,,9,,70,,,,Liga Española,,734k€,,,,78,EuropadelSur,35,Europe
Tino Kadewere,P.P.M.,05January1996,,2M€,5M€,,"PrinceEdwardSchool(2011-2014),HarareCity(2014-2015)",,Right,STR(Striker),LaLiga,2M€annual,23-01-2020,30-06-2024,OlympiqueLyonnais,,,80,43,transfer,,183,,Ligue1,Mallorca,,Zimbabwe,63,7.2,"24,14,15,21,17,10,16",82,Harare,,Zimbabwe,77,68,,11,,66,,,,Liga Española,,7.2M€,,,,75,ÁfricaOriental,27,Africa
Amath Ndiaye,EF11SL,16July1996,,3M€,2M€,,,,Right,STR(Striker),LaLiga,884.5k€annual,01-07-2021,30-06-2025,Getafe,,,84,46,transfer,,170,,LaLiga,Mallorca,,Senegal,62,4.5,"11,31,7,35,15",93,Dakar,,Senegal,72,66,,23,,68,,,,Liga Española,,4.5M€,,,,76,AfricaOccidental,26,Africa
Abdón Prats,EugenioBotasAsesoriaDeporti,07December1992,,1M€,1.2M€,,,,Left,STR(Striker),LaLiga,129.2k€annual,04-07-2017,30-06-2024,Racing,,,68,36,transfer,,181,,SecondDivision,Mallorca,,Spain,59,2,"33,39,15,30",69,Artà,,Spain,68,56,,9,,70,,,,Liga Española,,2M€,,,11-05-2021,65,EuropadelSur,30,Europe
Daniel Luna,BRIO,07May2003,,,700k€,,,,Left,STR(Striker),LaLiga,3.1k€annual,,30-06-2023,MallorcaB,,,,,transfer,,178,,SegundaDivisiónRFEF,Mallorca,,Colombia,52,0.8,"31,10,24",,Cali,,Colombia,,,,20,,,,,,Liga Española,,811k€,,,,71,Sudamérica,19,AmericadelSur
Agustín Marchesín,,16March1988,,3M€,3M€,,ClubSportivoSanCayetano,76,Right,GOA(Goalkeeper),LaLiga,1.3M€annual,02-12-2016,30-06-2025,Porto,,77,,,transfer,,188,,PrimeiraLiga,Celta,,Argentina,74,2.3,"32,12,23",,GonzálezCatán,,Argentina,,,80,1,,,82,,83,Liga Española,,2.2M€,75,,,82,Sudamérica,34,AmericadelSur
C. Joel,,09July1999,,,500k€,,SportingGijon,58,Left,GOA(Goalkeeper),PrimeraDivisiónRFEF,139.4k€annual,27-08-2021,30-06-2026,Celta,,64,,,transfer,,193,,LaLiga,CeltaB,,Cuba,56,0.8,"30,34,24,13",,LaHabana,,Cuba,,,65,1,,,66,,67,Liga Española,,796k€,66,,,66,Caribe,23,AmericadelNorte
Iván Villar,Promoesport,09July1997,,1M€,1.2M€,,,68,Right,GOA(Goalkeeper),LaLiga,431.4k€annual,01-07-2019,30-06-2023,Leganés,,66,,,transfer,,189,,SecondDivision,Celta,,Spain,55,1.1,"27,25,13,26,22",,Aldán,,Spain,,,69,1,,,71,,70,Liga Española,,1.1M€,52,,,66,EuropadelSur,25,Europe
Coke Carrillo,,07January2002,,,,,PontevedraCF,,Right,GOA(Goalkeeper),LaLiga,72.8k€annual,03-08-2022,30-06-2027,CeltaB,,,,,transfer,,0,,PrimeraDivisiónRFEF,Celta,,Spain,30,,"1,37,13",,Pontevedra,,Spain,,,,31,,,,,,Liga Española,,,,,,45,EuropadelSur,21,Europe
Javi Galán,YOUFIRST,19November1994,,10M€,12M€,,"CDSanRoqueBadajoz,CPDonBosco,CPFlechaNegra",,Left,DF(Defender),LaLiga,1.7M€annual,31-07-2021,30-06-2026,Huesca,,,75,57,transfer,,172,,SecondDivision,Celta,,Spain,76,10.9,"17,29,12,10,33",79,Badajoz,,Spain,71,70,,11,,61,,,,Liga Española,,10.9M€,,,31-07-2021,78,EuropadelSur,28,Europe
Hugo Mallo,#LEADERS,22June1991,,2M€,3.5M€,,"EFPorvir,FCPontevedra(-1999)",,Right,DF(Defender),LaLiga,1.4M€annual,01-07-2009,30-06-2023,,30M€,,68,57,transfer,,173,,,Celta,,Spain,72,3.6,12,67,Marín,,Spain,76,69,,2,,48,,,,Liga Española,,3.6M€,,,10-08-2018,80,EuropadelSur,31,Europe
Joseph Aidoo,Sinagente,29September1995,,15M€,7M€,,,,Right,DF(Defender),LaLiga,1M€annual,11-07-2019,30-06-2026,Genk,,,54,53,transfer,,184,,BelgianProLeague,Celta,,Ghana,75,9.2,"18,15,6,14",75,Tema,,Ghana,76,35,,45,,27,,,,Liga Española,,9.2M€,,,07-02-2022,78,AfricaOccidental,27,Africa
Unai Núñez,LEADERBROCK,30January1997,,5M€,6M€,,,,Right,DF(Defender),LaLiga,1.2M€annual,01-07-2017,30-06-2025,Athletic,30M€,,54,55,transfer,,186,,LaLiga,Celta,,Spain,71,9.1,"4,12,5,30,2,20",73,Portugalete,,Spain,68,42,,3,,25,,,,Liga Española,,9.1M€,,,,76,EuropadelSur,26,Europe
Óscar Mingueza,TACTICGRUP-OROBITG,13May1999,,20M€,3M€,,,,Right,DF(Defender),LaLiga,1.1M€annual,01-11-2020,30-06-2026,Barcelona,,,,,transfer,,184,,LaLiga,Celta,,Spain,69,6.8,"22,28,2,4,15,14,44",,SantaPerpètuadeMogoda,,Spain,,,,3,,,,,,Liga Española,,6.8M€,,Puma,,76,EuropadelSur,23,Europe
Kevin Vázquez,F.J.VILLAVERDE,23March1993,,1M€,1M€,,,,Right,DF(Defender),LaLiga,645.9k€annual,01-07-2018,30-06-2023,CeltaB,,,64,59,transfer,,173,,PrimeraDivisiónRFEF,Celta,,Spain,59,1.4,,69,Nigrán,,Spain,63,64,,20,,50,,,,Liga Española,,1.4M€,,Adidas,,66,EuropadelSur,29,Europe
Carlos Domínguez,InterStarDeporte,11February2001,,2M€,1M€,,,,Left,DF(Defender),LaLiga,76.4k€annual,,30-06-2026,CeltaB,,,,,transfer,,1.3,,PrimeraDivisiónRFEF,Celta,,Spain,58,,"26,28,40",,Vigo,,Spain,,,,14,,,,,,Liga Española,,1.3M€,,,11-01-2022,72,EuropadelSur,21,Europe
F. Medrano,MRHfutbol,26March2000,,1M€,,,,,Left,DF(Defender),LaLiga,32.8k€annual,05-08-2021,30-06-2026,CeltaB,,,,,transfer,,172,,PrimeraDivisiónRFEF,Celta,,Spain,55,0.5,"21,36,34,16",,Madrid,,Spain,,,,3,,,,,,Liga Española,,,,,,66,EuropadelSur,22,Europe
Fran Beltrán,InterStarDeporte,03February1999,,20M€,15M€,,,,Right,MID(Midfielder),LaLiga,812k€annual,01-08-2018,30-06-2026,RayoVallecano,,,75,62,transfer,,165,,LaLiga,Celta,,Spain,72,17.6,"29,6,14",66,Madrid,,Spain,69,72,,8,,57,,,,Liga Española,,17.6M€,,,13-01-2022,77,EuropadelSur,24,Europe
Renato Tapia,AGREF,28July1995,,4M€,9M€,,,,Right,MID(Midfielder),LaLiga,1.1M€annual,04-08-2020,30-06-2024,Feyenoord,,,71,65,transfer,,185,,Eredivisie,Celta,,Peru,71,12.6,"13,14,4,6,26,7,8,28,17",67,Lima,,Peru,75,71,,20,,65,,,,Liga Española,,12.6M€,,Nike,,78,Sudamérica,27,AmericadelSur
Óscar Rodríguez,RR-SoccerManagementAgency,28June1998,,8M€,10M€,,LosNavalmorales(2006-2009),,Right,MID(Midfielder),LaLiga,1.3M€annual,01-07-2018,30-06-2025,Getafe,,,72,49,transfer,,174,,LaLiga,Celta,,Spain,71,10.8,"10,27,18,5,32,24,11",63,TalaveradelaReina,,Spain,63,74,,14,,73,,,,Liga Española,,10.8M€,,,,76,EuropadelSur,24,Europe
Gabri Veiga,IntermediaSportPlayer,27May2002,,10M€,10M€,,,,Right,MID(Midfielder),LaLiga,283.4k€annual,01-07-2019,30-06-2026,CeltaB,,,,,transfer,,184,,PrimeraDivisiónRFEF,Celta,,Spain,68,12.7,"31,29,18,28,8",,Porriño,,Spain,,,,24,,,,,,Liga Española,,12.7M€,,,,78,EuropadelSur,20,Europe
Lucas De La Torre,FieldManagement,23May1998,,5M€,2M€,,"NomadsYouthSoccerClub(2011-2012),SanDiegoSurf(2012-2013),Fulham(2013-2016)",,Right,MID(Midfielder),LaLiga,100.4k€annual,06-08-2020,30-06-2026,Heracles,,,72,53,transfer,,178,,EersteDivisie,Celta,,UnitedStates,64,3.7,"14,7,23,20,11,8,16",68,SanDiego,,UnitedStates,56,62,,36,,51,,,,Liga Española,,3.7M€,,Nike,,71,NorthAmerica,24,AmericadelNorte
Williot Swedberg,NordicSky,01February2004,,4M€,5M€,,HammarbyIF(2011-2020),,Right,MID(Midfielder),LaLiga,500€annual,,30-06-2027,HammarbyIF,,,,,transfer,,185,,SwedishAllsvenskan,Celta,,Sweden,58,4.6,"19,16,27,43,7",,Stockholm,,Sweden,,,,44,,,,,,Liga Española,,4.6M€,,,,75,PaísesNórdicos,19,Europe
Augusto Solari,HernanBerman,03January1992,,1M€,2.5M€,,,,Right,MID(Midfielder),LaLiga,717.4k€annual,23-01-2021,30-06-2023,RacingClub,,,79,54,transfer,,180,,PrimeraDivision,Celta,,Argentina,56,2,"21,14,29,7,15,28",86,Rosario,,Argentina,78,70,,18,,63,,,,Liga Española,,2M€,,,,72,Sudamérica,31,AmericadelSur
Tincho,,25March2003,,,,,,,Left,MID(Midfielder),PrimeraDivisiónRFEF,,,,Celta,,,,,,,,,LaLiga,CeltaB,,Spain,48,,"3,19,28",,Ourense,,Spain,,,,33,,,,,,Liga Española,,,,,,66,EuropadelSur,19,Europe
Iago Aspas,IntermediaSportPlayer,01August1987,,6M€,7M€,,CDMoaña(-1995),,Left,STR(Striker),LaLiga,2.5M€annual,07-07-2015,30-06-2025,Sevilla,50M€,,85,39,transfer,,176,,LaLiga,Celta,,Spain,81,4.5,"9,14,11,17,31",82,Moaña,,Spain,74,79,,10,,81,,,,Liga Española,,4.5M€,,,25-07-2022,88,EuropadelSur,35,Europe
Jorgen Strand Larsen,TPSportManagement,06February2000,,,11M€,,"KvikHaldenFK(-2015),Sarpsborg08FF(2015-2016)",,Right,STR(Striker),LaLiga,201k€annual,09-09-2020,30-06-2028,Groningen,,,64,33,transfer,,193,,Eredivisie,Celta,,Norway,74,17.4,"45,10,18,17,23,19,22",65,Halden,,Norway,70,53,,9,,56,,,,Liga Española,,17.4M€,,,,81,PaísesNórdicos,22,Europe
Harris Seferovic,LIANSportsGroup,22February1992,,,6M€,,"FCSursee(1999-2004),FCLuzern(2004-2007),GrasshopperClubZürich(2007-2009)",,Left,STR(Striker),LaLiga,896.8k€annual,01-07-2017,30-06-2024,GalatasaraySK,,,69,45,transfer,,189,,TurkishSüperLig,Celta,,Switzerland,71,11.9,"9,27,8,11,22,21,17",70,Sursee,,Switzerland,77,66,,14,,73,,,,Liga Española,,11.9M€,,Adidas,,83,EuropaOccidental,30,Europe
Franco Cervi,Wasserman,26May1994,,5M€,3M€,,RosarioCentral(2001-2013),,Left,STR(Striker),LaLiga,786k€annual,05-07-2021,30-06-2026,Benfica,,,88,57,transfer,,165,,PrimeiraLiga,Celta,,Argentina,70,6.3,"22,10,30",93,SanLorenzo,,Argentina,70,69,,11,,68,,,,Liga Española,,6.3M€,,,,76,Sudamérica,28,AmericadelSur
Carles Pérez,LEADERBROCK,16February1998,,4M€,4M€,,CFVilanovadelVallés,,Left,STR(Striker),LaLiga,2.3M€annual,01-09-2020,30-06-2024,Roma,,,79,41,transfer,,173,,SerieA,Celta,,Spain,62,5.9,"31,19,27,7,43,9",81,Granollers,,Spain,67,65,,11,,67,,,,Liga Española,,5.9M€,,Adidas,,68,EuropadelSur,24,Europe
Gonçalo Paciência,ProelevenS.A.,01August1994,,3M€,3M€,,"FCPorto(2002-2009),PadroenseFC(2009-2010),FCPorto(2010-2013)",,Right,STR(Striker),LaLiga,1.3M€annual,12-07-2018,30-06-2025,EintrachtFrankfurt,,,72,41,transfer,,184,,Bundesliga,Celta,,Portugal,59,4,"9,14,19,18,79",59,Porto,,Portugal,76,58,,39,,67,,,,Liga Española,,4M€,,,,72,EuropadelSur,28,Europe
Miguel Rodríguez,IntermediaSportPlayer,29April2003,,2M€,1M€,,,,Left,STR(Striker),LaLiga,139.4k€annual,,30-06-2023,CeltaB,,,,,transfer,,179,,PrimeraDivisiónRFEF,Celta,,Spain,58,1.8,"29,32,7,27,10,17",,Vigo,,Spain,,,,26,,,,,,Liga Española,,1.8M€,,,,75,EuropadelSur,19,Europe
Hugo Álvarez,Interfootball,02July2003,,,,,PonteOurense,,Right,STR(Striker),PrimeraDivisiónRFEF,23.9k€annual,,30-06-2025,Celta,,,,,transfer,,0.1,,LaLiga,CeltaB,,Spain,50,,"11,30,23",,Ourense,,Spain,,,,35,,,,,,Liga Española,,,,,,69,EuropadelSur,19,Europe
Fran López,,24January2002,,1M€,,,,,Unknown,STR(Striker),PrimeraDivisiónRFEF,,,30-06-2023,Celta,,,,,transfer,,,,LaLiga,CeltaB,,Spain,45,,"9,32,21,28",,ACoruña,,Spain,,,,30,,,,,,Liga Española,,,,,,57,EuropadelSur,21,Europe
P. Duran,F.J.VILLAVERDE,25May2001,,1M€,,,Desconocido:ADTomiñoJuvenil,,Right,STR(Striker),LaLiga,,,30-06-2027,CeltaB,,,,,transfer,,0.4,,PrimeraDivisiónRFEF,Celta,,Spain,45,,"17,18,11",,Tomiño,,Spain,,,,35,,,,,,Liga Española,,,,,,57,EuropadelSur,21,Europe
