,Agent,Dateofbirth,Latesttransfer,CIESvalue,TMvalue,Totaltransfers,Timeinyouthteam,Goalkicks,Dominantfoot,Position,Maincompetition,Salary,Startofcontract,Contractexpiration,Previousclub,Releaseclause,Saves,Dribble,Defender,Transfers,Offthebench,Altura,Ageinlastgame,Previouscompetition,Currentclub,Ageondebut,Countryofbirth,ELO,Market value,Othershirtnumbers,Tempo,Placeofbirth,Timescalledup,Nacionalidad(es),Physical,Pass,Placement,Mostcommonshirtnumber,Matchesasastarter,Shot,Stretch,Debut,Reflexes,Liga,Lastmatch,Marketvalue,Jump,Provider,Latestrenewal,Potential,Regionofbirth,Edad,Continentofbirth
Duván Zapata,"Villarreal,Schena&Hansen",01April1991,,7M€,18M€,,AméricadeCali,,Right,STR(Striker),SerieA,3.8M€annual,17-01-2020,30-06-2024,Sampdoria,,,75,35,transfer,,189,,SerieA,Atalanta,,Colombia,79,16.4,"9,7,27,11,16",75,Cali,,Colombia,79,57,,91,,69,,,,SerieA,,16.4M€,,Nike,,88,Sudamérica,31,AmericadelSur
Luis Muriel,WorldSoccerAgency,16April1991,,10M€,12M€,,,,Right,STR(Striker),SerieA,3.6M€annual,01-07-2019,30-06-2023,Fiorentina,,,86,38,transfer,,179,,SerieA,Atalanta,,Colombia,78,11.6,"14,20,24,29,19,11",89,SantoTomás,,Colombia,75,74,,9,,81,,,,SerieA,,11.6M€,,,,82,Sudamérica,31,AmericadelSur
Ademola Lookman,,20October1997,,35M€,20M€,,"WaterlooFC(2008-2014),CharltonAthletic(2014-2015)",,Right,STR(Striker),SerieA,2.5M€annual,25-07-2019,30-06-2026,Leicester,,,85,40,transfer,,174,,PremierLeague,Atalanta,,England,76,27.5,"17,11,37,7,19,18,13",84,London,,Nigeria,70,67,,31,,65,,,,SerieA,,27.5M€,,Nike,,80,IslasBritánicas,25,Europe
Rasmus Højlund,,04February2003,,20M€,15M€,,Hørsholm-UsserødIdrætsforening,,Left,STR(Striker),SerieA,71.2k€annual,,30-06-2027,SturmGraz,,,,,transfer,,23.5,,AustrianBundesliga,Atalanta,,,74,,"9,17,45,11,10,22,20",,,,Denmark,,,,28,,,,,,SerieA,,23.5M€,,,,84,,20,
J. Boga,LIANSportsGroup,03January1997,,20M€,15M€,,"ASPTTMarseille(2003–2009),ChelseaFC(2009-2014)",,Right,STR(Striker),SerieA,1.2M€annual,21-07-2018,30-06-2027,Sassuolo,,,85,45,transfer,,172,,SerieA,Atalanta,,France,66,18.1,"7,20,13,17,38,16,12,14,11,15",85,Marseille,,IvoryCoast,69,73,,10,,71,,,,SerieA,,18.1M€,,,,75,EuropaOccidental,26,Europe
Mike Maignan,,03July1995,,,,,"VilliersleBelJS(2003-2009),FCParisSaint-Germain(2009-2015)",85,Right,GOA(Goalkeeper),SerieA,,,,Lille,,80,,,,1,191,27years,Ligue1,Milan,23years,France,86,22,"1,23,40,18,31",,Cayenne,38,France,,,82,16,4,,81,02/06/2019,85,SerieA,22/09/2022,,72,,,88,EuropaOccidental,27,Europe
C. Tătăruşanu,PietroChiodiSoccerM.,09February1986,,1M€,600k€,,,75,Right,GOA(Goalkeeper),SerieA,1.4M€annual,11-09-2020,30-06-2023,OlympiqueLyonnais,,75,,,transfer,,195,,Ligue1,Milan,,Romania,68,0.3,"1,30",,Bucharest,,Romania,,,79,12,,,80,,81,SerieA,,,63,,,83,EuropadelEste,36,Europe
A. Mirante,GG11,08July1983,,,,,"Sorrento,Juventus",68,Right,GOA(Goalkeeper),SerieA,1.4M€annual,13-10-2021,30-06-2023,Roma,,79,,,transfer,,193,,SerieA,Milan,,Italy,41,0.1,"12,22",,CastellammarediStabia,,Italy,,,79,83,,,77,,76,SerieA,,,62,Nike,01-07-2022,79,EuropadelSur,39,Europe
Devis Vasquez,VIDA11,12May1998,,,,,,52,Right,GOA(Goalkeeper),SerieA,13M€annual,01-01-2016,30-06-2026,Guaraní,,52,,,transfer,,193,,ClausuraParaguay,Milan,,Colombia,49,0.4,"77,26,28,12,25",,Barranquilla,,Colombia,,,60,1,,,60,,54,SerieA,,,58,,,57,Sudamérica,24,AmericadelSur
Theo Hernández,ManuelGarcíaQuilón,06October1997,,70M€,60M€,,"CFRayoMajadahonda(2006-2007),AtléticoMadrid(2007–2015)",,Left,DF(Defender),SerieA,2.2M€annual,06-07-2019,30-06-2026,R.Sociedad,,,81,62,transfer,,184,,LaLiga,Milan,,France,87,60.7,"15,22,3,33",92,Marseille,,France,78,73,,19,,69,,,,SerieA,,60.7M€,,,11-02-2022,89,EuropaOccidental,25,Europe
Fikayo Tomori,,19December1997,,,,,ChelseaFC(2005-2017),,Right,DF(Defender),SerieA,,,,Chelsea,,,69,55,,2,185,24years,PremierLeague,Milan,21years,Canada,83,36.8,"29,5,3,14,16,27,15,43,18,33,2,31",80,Calgary,8,England,74,53,,23,1,39,,11/10/2019,,SerieA,23/09/2022,,,,,85,NorthAmerica,25,AmericadelNorte
P. Kalulu,CAAStellar,05June2000,,35M€,35M€,,"ASSaint-Priest(2007-2008),OlympiqueLyonnais(2008-2018)",,Right,DF(Defender),SerieA,850.2k€annual,01-09-2020,30-06-2027,OlympiqueLyonnais,,,,,transfer,,179,,Ligue1,Milan,,France,79,28.1,"2,13,33,5,53",,Lyon,,France,,,,20,,,,,,SerieA,,28.1M€,,,10-11-2022,84,EuropaOccidental,22,Europe
D. Calabria,YOUFIRST,06December1996,,15M€,25M€,,ACMilan,,Right,DF(Defender),SerieA,2.4M€annual,01-07-2015,30-06-2025,Qrendi,,,75,59,transfer,,176,,SecondDivisionMalta,Milan,,Italy,78,19.4,"96,13,3,4,16,6",76,Brescia,,Italy,72,68,,2,,58,,,,SerieA,,19.4M€,,,09-07-2021,83,EuropadelSur,26,Europe
Simon Kjaer,BecksterInt.,26March1989,,3M€,5M€,,LundIF,,Right,DF(Defender),SerieA,2.1M€annual,01-09-2020,30-06-2024,Atalanta,,,58,56,transfer,,191,,SerieA,Milan,,Denmark,75,5,"24,14,3,34,30,40,44",67,Horsens,,Denmark,69,61,,4,,55,,,,SerieA,,5M€,,Nike,27-10-2021,85,PaísesNórdicos,33,Europe
A. Florenzi,,11March1991,,,,,"AtleticoAcilia(1995-2000),Lodigiani(2000-2002)",,Right,DF(Defender),SerieA,,,,Roma,,,81,62,,13,173,31years,SerieA,Milan,21years,Italy,74,7.6,"25,7,16,8,48,15,11",77,Rome,69,Italy,74,77,,24,36,78,,14/11/2012,,SerieA,11/06/2022,,,,,84,EuropadelSur,31,Europe
Sergino Dest,,03November2000,,,,,,,Right,DF(Defender),SerieA,,,,Barcelona,,,85,60,,1,173,22years,LaLiga,Milan,18years,Netherlands,73,18.9,"28,21,5,15,22,13,7,18,11",88,AlmereStad,26,UnitedStates,72,72,,2,22,56,,07/09/2019,,SerieA,03/12/2022,,,,,80,EuropaOccidental,22,Europe
Malick Thiaw,UniqueSportsGroup,08August2001,,7M€,6M€,,"TVKalkum-Wittlaer(2006-2009),FortunaDüsseldorf(2009-2010),Bayer04Leverkusen(2010-2011),Bor",,Right,DF(Defender),SerieA,419.1k€annual,01-07-2020,30-06-2027,Schalke04,,,,,transfer,,191,,Bundesliga,Milan,,Germany,63,4.5,"28,5,4,16",,Düsseldorf,,Germany,,,,33,,,,,,SerieA,,4.5M€,,,,74,EuropaOccidental,21,Europe
